Devname1,Devname2,Tossingprob
043936y,szymon.brandys,1
a.demelt,achim.demelt,6.67E-01
a.demelt,thomas,3.33E-01
a.thandavan,aog-ecl,1.11E-01
a.thandavan,athandavan,1.11E-01
a.thandavan,d.johnson,3.33E-01
a.thandavan,loulloudes.n,1.11E-01
a.thandavan,mael,1.11E-01
a.thandavan,mknauer,1.11E-01
a.thandavan,tkoeck,1.11E-01
a_mergey,rsternberg,1
aaron_ferguson,bokowski,1
aboyko,afarrag,1.11E-01
aboyko,anthonyh,2.22E-01
aboyko,crevells,3.33E-01
aboyko,give.a.damus,1.11E-01
aboyko,lgrahek,1.11E-01
aboyko,tikhomirov.artem,1.11E-01
acanon,dejan,1
achapiro,alain,1
achim.demelt,a.demelt,5.00E-01
achim.demelt,markus_keller,5.00E-01
achim.loerke,alexandra.imrie,2.00E-01
achim.loerke,felix.ziesel,6.67E-02
achim.loerke,hjb,1.33E-01
achim.loerke,markus.tiede,1.33E-01
achim.loerke,mbsbredex,6.67E-02
achim.loerke,oliver.goetz,2.00E-01
achim.loerke,tim.winselmann,6.67E-02
achim.loerke,zeb.ford-reitz,1.33E-01
aclement,adrian.colyer,6.25E-02
aclement,ajdt-inbox,3.13E-02
aclement,andrew,3.13E-02
aclement,andrew.clement,3.13E-02
aclement,andrew.eisenberg,3.13E-02
aclement,aspectj-inbox,3.13E-02
aclement,avasseur,3.13E-02
aclement,eh-ajdev,3.13E-02
aclement,hawkinsh,6.25E-02
aclement,huffand,3.13E-02
aclement,john.heintz,3.13E-02
aclement,luzius.meisser,1.56E-01
aclement,matthew_webster,3.13E-02
aclement,mchapman,9.38E-02
aclement,mik.kersten,6.25E-02
aclement,nmreid2001,3.13E-02
aclement,ppuri,3.13E-02
aclement,sjanuary,3.13E-02
aclement,swhiting,1.56E-01
adam_kiezun,aeschli,4.00E-02
adam_kiezun,akiezun,6.40E-01
adam_kiezun,daniel_megert,8.00E-02
adam_kiezun,dirk_baeumer,8.00E-02
adam_kiezun,eclipse,4.00E-02
adam_kiezun,erich_gamma,4.00E-02
adam_kiezun,markus_keller,4.00E-02
adam_kiezun,tobias_widmer,4.00E-02
adam_schlegel,kevin_haaland,1.43E-01
adam_schlegel,mike_wilson,4.29E-01
adam_schlegel,nick_edgar,2.86E-01
adam_schlegel,ryan_cooper,1.43E-01
adn,george.christelis,5.00E-01
adn,ruthdaly,5.00E-01
adolfosbh,alexander.igdalov,1.43E-01
adolfosbh,denis.roy,1.43E-01
adolfosbh,eclipse,1.43E-01
adolfosbh,ed,2.86E-01
adolfosbh,serg.boyko2011,2.86E-01
adrian.colyer,aclement,8.82E-02
adrian.colyer,adrian_colyer,1.18E-01
adrian.colyer,andrew.clement,1.18E-01
adrian.colyer,avasseur,5.88E-02
adrian.colyer,beatmik,2.94E-02
adrian.colyer,clemas,1.18E-01
adrian.colyer,dave,2.94E-02
adrian.colyer,eh-ajdev,2.94E-02
adrian.colyer,hawkinsh,2.94E-02
adrian.colyer,hlhawkins,5.88E-02
adrian.colyer,huffand,2.94E-02
adrian.colyer,jdt-ui-inbox,2.94E-02
adrian.colyer,matthew_webster,2.94E-02
adrian.colyer,mchapman,5.88E-02
adrian.colyer,mik.kersten,2.94E-02
adrian.colyer,rbodkin+lists,5.88E-02
adrian.colyer,reidh,2.94E-02
adrian.colyer,swhiting,5.88E-02
adrian.goerler,christopher.delahunt,1.67E-01
adrian.goerler,eclipselink.foundation-inbox,1.67E-01
adrian.goerler,eclipselink.orm-inbox,1.67E-01
adrian.goerler,guy.pelletier,1.67E-01
adrian.goerler,konstantin.schwed,1.67E-01
adrian.goerler,matthias.sohn,1.67E-01
adrian.mos,adrian.skehill,5.00E-01
adrian.mos,andrea.zoppello,5.00E-01
adrian.skehill,david.beaurpere,8.33E-02
adrian.skehill,fiona.kennedy,1.67E-01
adrian.skehill,fugang.xu,8.33E-02
adrian.skehill,johnson.ma,1.67E-01
adrian.skehill,jonathan.huang,1.67E-01
adrian.skehill,ohurley,8.33E-02
adrian.skehill,oisin.hurley,1.67E-01
adrian.skehill,richard.gronback,8.33E-02
adrian_colyer,aclement,3.33E-01
adrian_colyer,adrian.colyer,4.67E-01
adrian_colyer,hlhawkins,6.67E-02
adrian_colyer,webmaster,6.67E-02
adrian_colyer,wes,6.67E-02
adushistova,anna.dushistova,5.00E-01
adushistova,martin.oberhuber,5.00E-01
aeberbac,apnan,1.67E-01
aeberbac,bsubram,1.67E-01
aeberbac,hkyleung,1.67E-01
aeberbac,karthikeyan,3.33E-01
aeberbac,smith,1.67E-01
aegges,markus.schorn,1
aeidsnes,birsan,6.25E-02
aeidsnes,eclipse,6.25E-01
aeidsnes,gunnar,6.25E-02
aeidsnes,jeffmcaffer,6.25E-02
aeidsnes,jim_des_rivieres,6.25E-02
aeidsnes,nick_edgar,1.25E-01
aeschli,adam_kiezun,2.30E-02
aeschli,akiezun,6.56E-03
aeschli,alexander.gurov,3.28E-03
aeschli,andre_weinand,2.30E-02
aeschli,benjamin.muskalla,6.56E-03
aeschli,benno.baumgartner,9.84E-03
aeschli,benno_baumgartner,3.93E-02
aeschli,birsan,3.28E-03
aeschli,boris_bokowski,6.56E-03
aeschli,bradleyjames,3.28E-03
aeschli,bugs,3.28E-03
aeschli,claude_knaus,9.84E-03
aeschli,daniel_megert,4.26E-02
aeschli,darin_wright,1.64E-02
aeschli,david_audel,9.84E-03
aeschli,deepakazad,3.28E-03
aeschli,dejan,3.28E-03
aeschli,denis.roy,6.56E-03
aeschli,dirk_baeumer,3.61E-02
aeschli,eclipse,1.64E-02
aeschli,eduardorochabr,3.28E-03
aeschli,erich_gamma,2.95E-02
aeschli,erol_koc_oti,3.28E-03
aeschli,frederic_fusier,9.84E-03
aeschli,gmf.ui-inbox,3.28E-03
aeschli,jdt-apt-inbox,3.28E-03
aeschli,jdt-core-inbox,4.92E-02
