Devname1,Devname2,Tossingprob
116057,bugspam.callek,1.67E-01
116057,bugzilla,1.67E-01
116057,bugzilla-mozilla-20000923,1.67E-01
116057,darin.moz,1.67E-01
116057,roc,1.67E-01
116057,steffen.wilberg,1.67E-01
1212mozilla,susiew,1
13964001012,brant,1
15electronicmotor,wkocher,1
2009-bugzilla,asa,5.26E-02
2009-bugzilla,bclary,5.26E-02
2009-bugzilla,bob,1.05E-01
2009-bugzilla,bugzilla,5.26E-02
2009-bugzilla,bzbarsky,5.26E-02
2009-bugzilla,caillon,5.26E-02
2009-bugzilla,gerv,5.26E-02
2009-bugzilla,gordon,5.26E-02
2009-bugzilla,hyatt,5.26E-02
2009-bugzilla,joki,5.26E-02
2009-bugzilla,karnaze,5.26E-02
2009-bugzilla,momoi,5.26E-02
2009-bugzilla,pkasting,5.26E-02
2009-bugzilla,pschwartau,5.26E-02
2009-bugzilla,rods,5.26E-02
2009-bugzilla,security-bugs,5.26E-02
2009-bugzilla,timeless,5.26E-02
2009-bugzilla,z-aillon.c-obsolete2,5.26E-02
21,aaron.train,2.33E-02
21,ahoza,2.33E-02
21,anamaria.moldovan,2.33E-02
21,andreea.pod,2.33E-02
21,ben,6.98E-02
21,cajbir.bugzilla,2.33E-02
21,dao,2.33E-02
21,dbaron,2.33E-02
21,dolske,2.33E-02
21,dougt,4.65E-02
21,ehsan,2.33E-02
21,gavin.sharp,6.98E-02
21,jap,2.33E-02
21,mark.finkle,1.40E-01
21,mbrubeck,9.30E-02
21,mozaakash,6.98E-02
21,mrbkap,2.33E-02
21,mwu,2.33E-02
21,nobody,2.33E-02
21,paul,6.98E-02
21,pavlov,4.65E-02
21,ripper5555,2.33E-02
21,webapps,2.33E-02
21,wjohnston2000,2.33E-02
21,youwotma,2.33E-02
2pawnder,dao,1
3.14,akkana,3.33E-02
3.14,akkzilla,3.33E-02
3.14,attinasi,3.33E-02
3.14,bugspam.callek,3.33E-02
3.14,bugzilla,1.00E-01
3.14,bugzilla-graveyard,3.33E-02
3.14,bugzillamozillaorg_serge_20140323,3.33E-02
3.14,bzbarsky,3.33E-02
3.14,cneberg,3.33E-02
3.14,ducarroz,3.33E-02
3.14,durbacher,3.33E-02
3.14,dveditz,3.33E-02
3.14,emaijala+moz,3.33E-02
3.14,lpsolit,3.33E-02
